"1","Electronics","0","Electronics","Electronics","1","<p>If you came to this page looking for a promo code to save on your electronics purchase, then you came to the right place. This is the main electronics category but you can use the sub categories below to narrow your coupon search and find exactly what you are looking for. Since technology changes so much we are always buying new tablets, televisions, phones, speakers, music players and video game consoles. These discount codes will make the newest electronics more affordable for you.</p>","electronics,coupon,promo codes,discount codes","promo codes for discounts on consumer electronics items.","Promo codes and deals for Electronic Products",",,",
"2","Photo & Art","0","Photo-Art","Photo-Art","1","<p>The photo and art category is another really small category. We just have two sub-categories, arts &amp; crafts and photo printing and gifts. The arts and crafts section is also where we will place our fine art retailers and promo codes, as well as the stuff you would typically find at a store like Michaels. In photo printing and gifts you will see photo gifts and canvas prints.</p>","photo and art promo codes,photo & art coupon codes,photo and art promotional codes","Use the Photo and Art Promo Codes and Coupon Codes for online savings.","Photo & Art Promo Codes",",,",
"6","Auto","0","Auto","Auto","1","<p>Use the Auto promotional codes listed below for online savings at your favorite auto retailers. Search the subcategories for Auto Insurance coupons, auto parts and accessories promo codes and car and truck promotions. This is the all encompassing auto category, we have the sub-categories listed below so you can more quickly find the exact discount that you are looking for.</p>","Auto Promo Codes,Auto Coupon Codes,Auto Promotional Codes,","Use Auto Promo Codes and Coupon Codes for online savings.","Auto Promo Codes",",,",
"10","Baby & Kids","0","Baby-Kids","Baby-Kids","1","<p>Search the Baby &amp; Kids category for promo codes for everything needed for your children. Search the subcategories for kids shoes, baby clothing, diapers, baby gear, children's clothing and so much more. Use the promotional codes listed below for online savings on Baby and Kids products. The sub-categories will help you narrow down your search. Baby items are one of the most popular online shopping items, because most people purchase cheap items since they are only used for a short time. In fact, the baby section at Target.com is the most popular section.</p>","Baby Promo Codes,Baby & Kids promotional codes,baby & kids coupons,baby and kids coupon codes","Use the Baby &amp; Kids coupon codes and promo codes listed here for online savings.","Baby & Kids Promo Codes",",,","baby and kids,baby & kids,"
"15","Books","0","Books","Books","1","<p>The way people read is changing. I used to head to my local Borders or Barnes &amp; Noble to pick up a paperback version of the book I wanted. Now I just hop online at any number of websites and get a e-book version for my kindle app on my ipad. You can still do it the old fashioned way, and we have promo codes to help you, but now your options are more varied. Use the subcategories to search for discounts on textbooks, hard copy books and audio books.</p>","Books Coupon Codes,Book Promo Codes,Book promotional Codes","promo codes for discounts on audio books, ebooks, textbooks and books for pleasure.","Books Promo Codes",",,",
"21","Cell Phones","0","Cell-Phones","Cell-Phones","1","<p>Cell phones and smart phones may be the most popular electronics items on the market. I mean they are you communication, computer, camera and music player all in one these days. But because they are so popular, espcially the iPhone and new Samsung models, they come with a heavy price tag. That is why you need these cell phone promo codes and discount codes to save on your new phone.</p>","cell phones,cellular phones,smart phones,promo codes,coupon codes,discount codes","Use promo codes to save on cellphones, smartphones and mobile phones from the top carriers.","Cell Phones & Smartphones Promo Codes",",,","cell phones,cellphones,smartphones,smart phones,smart phone,cell phone,cellphone,cellular phone,cellular phones"
"26","Women","0","Women","Women","1","<p><span style=""white-space:pre""> This is the parent category for all the womens apparel and accessories </span></p>
<p><span style=""white-space:pre"">categories we have. The largest percentage of our retailers fall under women, </span></p>
<p><span style=""white-space:pre"">so we have quite a few subcategories. Check out the womens clothing, </span></p>
<p><span style=""white-space:pre"">designer clothing, eco-friendly apparel, handbags &amp; accessories, intimates, </span></p>
<p><span style=""white-space:pre"">juniors, petite, plus size, shoes and swimwear categories below to find the </span></p>
<p><span style=""white-space:pre"">coupon code you want and need faster.</span></p>",,,,",,",
"37","Men","0","Men","Men","1","<p><span style=""white-space: pre;""> More and more men are shopping online for their clothes. I think men are less </span></p>
<p><span style=""white-space: pre;"">picky about fit, for the most part at least, and are more trusting shopping online. </span></p>
<p><span style=""white-space: pre;"">Plus the deals you can find on apparel, accessories, shoes, swimwear and formal </span></p>
<p><span style=""white-space: pre;"">wear online are just incredible. When you throw in a few of the promo codes below,</span></p>
<p><span style=""white-space: pre;"">it's like the retailers are paying you to wear their clothes! Be sure to check out the</span></p>
<p><span style=""white-space: pre;"">sub-categories for easier search.</span></p>","Mens Promo Codes,Men coupon codes,men promotional codes,","Use Mens Promo Codes and Coupon Codes for online savings at top retailers.","Mens Promo Codes",",,",
"45","Computers","0","Computers","Computers","1","<p><span style=""white-space: pre;""> Computers are taking many forms these days. We have everything from powerful </span></p>
<p><span style=""white-space: pre;"">gaming desktops to light weight netbooks and tablets to laptops that are more </span></p>
<p><span style=""white-space: pre;"">powerful than the most powerful desktops from just a few years ago. Apple and </span></p>
<p><span style=""white-space: pre;"">Microsoft still dominate the industry but new players such as Google and Apache </span></p>
<p><span style=""white-space: pre;"">are making great products. Choose the subcategories below to get promo codes </span></p>
<p><span style=""white-space: pre;"">and coupon codes for more specific purchases.</span></p>","Computers Promo Codes,Computers Coupon Codes,Computers Promotional Codes,Computer Coupons,","Use Computer Promo Codes and Coupon Codes for online savings at top computer retailers.","Computers Promo Codes & coupons",",,",
"56","Entertainment","0","Entertainment","Entertainment","1","<p>Entertainment can go a lot of different ways. It can take place at home, in the bedroom, at your local NFL stadium, on a holiday, at a party and infinite other places. This category is pretty broad so be sure to check out the sub categories below to narrow down your coupon and promo codes searches.</p>","Entertainment promo codes,entertainment coupon codes,entertainment promotional codes,","Use Entertainment promo codes and coupon codes for online savings.","Entertainment Promo Codes",",,","tinkerbell, mickey mouse, high school musical, hannah montana, sesame street, dora the explorer,winnie the pooh, "
