"$5 off ","http://fave.co/1164QKF","WEBC5","Get $5 off all orders at 1800PetMeds.com. Plus get free shipping on orders over $39.99.","1969-12-31","0",NULL,NULL,NULL,NULL,"4","1800PetMeds","1800PetMeds"
"5% off ","http://fave.co/1164QKF","W5PER","Get 5% off all orders at 1800PetMeds.com. And get free shipping on order over $39.","1969-12-31","0","112","Pets","0","Pets","4","1800PetMeds","1800PetMeds"
"5% off ","http://fave.co/1164QKF","W5PER","Get 5% off all orders at 1800PetMeds.com. And get free shipping on order over $39.","1969-12-31","0","113","Supplies & Medication","112","SuppliesMedication","4","1800PetMeds","1800PetMeds"
"10% off","http://click.linksynergy.com/fs-bin/click?id=SvZ/j5gKyvE&offerid=172534.10000036&type=3&subid=0&u1=10%off","TENOFF","Get 10% off all orders at 3Balls.com Golf.","1969-12-31","0",NULL,NULL,NULL,NULL,"5","3Balls","3Balls"
"Free Shipping","http://fave.co/1164QKF",,"Get free shipping on all orders over $39 at 1800PetMeds. Save up to $10.","1969-12-31","1","112","Pets","0","Pets","4","1800PetMeds","1800PetMeds"
"Free Shipping","http://fave.co/1164QKF",,"Get free shipping on all orders over $39 at 1800PetMeds. Save up to $10.","1969-12-31","1","113","Supplies & Medication","112","SuppliesMedication","4","1800PetMeds","1800PetMeds"
"Free Shipping on Memory Modules","http://click.linksynergy.com/fs-bin/click?id=SvZ/j5gKyvE&offerid=99169.10000123&type=3&subid=0&u1=freeshipping",,"Get Free Shipping on all Memory Modules at 4AllMemory.","1969-12-31","1","45","Computers","0","Computers","6","4 All Memory","4AllMemory"
"Free Shipping on Memory Modules","http://click.linksynergy.com/fs-bin/click?id=SvZ/j5gKyvE&offerid=99169.10000123&type=3&subid=0&u1=freeshipping",,"Get Free Shipping on all Memory Modules at 4AllMemory.","1969-12-31","1","46","Accessories","45","Accessories","6","4 All Memory","4AllMemory"
"Free Shipping on Memory Modules","http://click.linksynergy.com/fs-bin/click?id=SvZ/j5gKyvE&offerid=99169.10000123&type=3&subid=0&u1=freeshipping",,"Get Free Shipping on all Memory Modules at 4AllMemory.","1969-12-31","1","48","Hardware","45","Hardware","6","4 All Memory","4AllMemory"
"Free Shipping","http://www.kqzyfj.com/click-3509648-6944964?sid=freeshipping",,"Get Free Shipping on purchases over $50 at Adagio Teas.","1969-12-31","0","81","Food","0","Food","8","Adagio Teas","Adagio-Teas"
"Free Shipping","http://www.kqzyfj.com/click-3509648-6944964?sid=freeshipping",,"Get Free Shipping on purchases over $50 at Adagio Teas.","1969-12-31","0","85","Coffee & Tea","81","CoffeeTea","8","Adagio Teas","Adagio-Teas"
"$5 off","http://www.kqzyfj.com/click-3509648-6944964?sid=6913479920","6913479920","New customers save $5 on your first order.","1969-12-31","0",NULL,NULL,NULL,NULL,"8","Adagio Teas","Adagio-Teas"
"Free Shipping","http://www.classicawards.com/",,"Get free shipping on all purchases at ClassicAwards.com.","1969-12-31","0",NULL,NULL,NULL,NULL,"3096","Classic Awards","ClassicAwards"
"10% off","http://www.classicawards.com/","TENOFF","Save 10% and get free shipping","1969-12-31","0",NULL,NULL,NULL,NULL,"3096","Classic Awards","ClassicAwards"
"15% off Promotion Code","http://www.anrdoezrs.net/click-3509648-10409331?sid=SAVCENT","SAVCENT","Get 15% off all orders at Get Organized.","1969-12-31","0",NULL,NULL,NULL,NULL,"1920","Get Organized","GetOrganized"
"Free Shipping","http://www.avantlink.com/click.php?tt=ml&amp;ti=71809&amp;pw=20217",,"Get free shipping on purchases over $99 at Getzs.com.","1969-12-31","0","41","Clothing","37","men-Clothing","2697","Getzs","Getzs"
"Free Shipping","http://www.avantlink.com/click.php?tt=ml&amp;ti=71809&amp;pw=20217",,"Get free shipping on purchases over $99 at Getzs.com.","1969-12-31","0","122","Sports Apparel","121","SportsApparel","2697","Getzs","Getzs"
"15% off Promo Code","http://www.kqzyfj.com/be100qgpmgo3794DA8C3979B46?sid=15%off","NEXTJUMP","Save 15% on purchases at GiftTree.com.","1969-12-31","0","76","Flowers & Gifts","0","Flowers-Gifts","1921","Gift Tree","GiftTree"
"15% off Promo Code","http://www.kqzyfj.com/be100qgpmgo3794DA8C3979B46?sid=15%off","NEXTJUMP","Save 15% on purchases at GiftTree.com.","1969-12-31","0","78","Gift Baskets","76","GiftBaskets","1921","Gift Tree","GiftTree"
"10% off Coupon Code","http://www.kqzyfj.com/be100qgpmgo3794DA8C3979B46?sid=ACCESS10","ACCESS10","Get 10% off orders at Gift Tree.","1969-12-31","0","76","Flowers & Gifts","0","Flowers-Gifts","1921","Gift Tree","GiftTree"
"10% off Coupon Code","http://www.kqzyfj.com/be100qgpmgo3794DA8C3979B46?sid=ACCESS10","ACCESS10","Get 10% off orders at Gift Tree.","1969-12-31","0","78","Gift Baskets","76","GiftBaskets","1921","Gift Tree","GiftTree"
"Special Offers","http://www.dpbolvw.net/click-3509648-10719002?sid=specialoffers",,"Check out the current special offers, deals and promotions at Canon.","1969-12-31","0",NULL,NULL,NULL,NULL,"2769","Canon","Canon"
"25% off Norton 360","http://www.jdoqocy.com/click-3509648-10506010?sid=norton25US","NORTON25US","Save 25% on Norton 360 Multi-Device.","1969-12-31","0","128","Software","0","computer-Software","116","Symantec","Symantec"
"Free Shipping","http://www.wendyculpepper.com/",,"Get free shipping on orders over $75.","1969-12-31","0",NULL,NULL,NULL,NULL,"222","Wendy Culpepper","WendyCulpepper"
"40% off Internet Security","http://www.jdoqocy.com/click-3509648-10506010?sid=NIS40US","NIS40US","Save 40% on Norton Internet Security 2013.","1969-12-31","0","128","Software","0","computer-Software","116","Symantec","Symantec"
"40% off Internet Security","http://www.jdoqocy.com/click-3509648-10506010?sid=NIS40US","NIS40US","Save 40% on Norton Internet Security 2013.","1969-12-31","0","132","Internet Security","128","InternetSecurity","116","Symantec","Symantec"
