name,id,group_id,network_id,code
123 Ink Jets,16,918,2,418963
1800getlens.com,17,3073,2,
24 Hour Fitness,18,1280,2,2400910
39dollarglasses.com,19,10277,2,1019547
4allmemory.com,20,2219,2,2481764
4 Ink Jets,21,11612,2,1055136
4Wheel Drive Hardware,22,868,2,1403748
911 Health Shop,23,665,2,1604489
a1books.com,24,12656,2,1191832
Accessory Geeks,25,441,2,1817900
AC Lens,26,214,2,1127296
Adobe - Sweden,27,389,2,2383253
air-n-water.com,28,13969,2,2557214
AJ Madison,30,2849,2,1526385
All Battery,31,920,2,1826017
all-ink.com,32,14430,2,410150
Allergy Be Gone,33,15414,2,1037559
analyzemycareer.com,34,15717,2,
ancestry.co.uk,35,99,2,1569747
animalden.com,36,16793,2,859514
anytimecostumes.com,37,1025,2,2107167
apartments.com,38,15878,2,
aplus.net,39,3246,2,1355340
arkivmusic.com,40,17449,2,1111879
auditionsshoes.com,41,1679,2,1218494
Auto Barn,42,2719,2,849384
babybrowns.com,43,2836,2,2467915
bamason.com,44,17867,2,1218496
barackswatch.com,45,19368,2,
baronbob.com,46,19001,2,295737
Baseball Express,47,193,2,1660665
bb-elec.com,48,20607,2,1689892
BBC America Shop,49,3399,2,824094
beautytrends.com,50,660,2,866727
Best Buy,51,187,2,2045991
bigfishtackle.com,52,20250,2,406253
bigfitness.net,53,39785,2,474963
bikebandit.com,54,127,2,610486
bird-x.com,55,2127,2,2713765
bloomingbulb.com,56,23300,2,513872
BodyBuilding,57,40893,2,1685836
booksamillion.com,58,21996,2,129899
borders.com,59,1078,2,2121955
Brian Tracy,60,1368,2,676705
bustedtees.com,61,248,2,1660621
Buy Costumes,62,1199,2,726692
Beach Trading Co.,63,120,2,2542022
callawaygolfpreowned.com,64,24253,2,863484
Collectors' Choice Music,65,23942,2,2702082
Collectors' Choice Video,66,26259,2,2702080
cellular-blowout.com,67,27019,2,1755979
Cheap Caribbean,68,26860,2,1603901
Chiasso Design,69,1559,2,2653582
cinemanow.com,70,26012,2,1626612
clubmac.com,72,29008,2,
coffeeforless.com,73,2760,2,1416241
compuvest.com,74,2454,2,2319977
condo.com,75,27988,2,4457374
contactsamerica.com,76,2650,2,
cosmeticmall.com,77,1308,2,554276
creativejobscentral.com,78,3449,2,
cruisedirect.com,79,3594,2,965192
danskin.com,80,30301,2,1176698
date.com,81,327,2,
Deep Discount,82,2580,2,2665490
DentalPlans.com,83,669,2,1003504
diabetesstore.com,85,32181,2,1023394
dietpower.com,86,31739,2,584762
directgardening.com,87,3553,2,392130
discountednewspapers.com,88,31172,2,1457779
dogtoys.com,89,34533,2,820888
Domain.com,90,37513,2,445101
Secondipity,91,4029,2,2136193
e-resume.net,92,33491,2,882858
ebags.com,93,828,2,1206555
ebatts.com,94,3719,2,446602
ecampus.com,95,1403,2,520129
ecomelectronics.com,96,6559,2,2467174
economytravel.com,97,7344,2,
edressme.com,98,4063,2,2036536
Entirely Pets,99,681,2,1475632
essentialapparel.com,100,982,2,763447
eVitamins,101,700,2,953659
Eye Buy Direct,102,2810,2,1932217
Fabric Store,103,3216,2,1154360
fansedge.com,104,37460,2,422997
fatcow.com,105,5606,2,1855055
fathead.com,106,157,2,1886196
Fine Jewlers,107,10333,2,307812
flowerdeliveryexpress.com,108,10731,2,2658715
flowerfarm.com,109,10971,2,
flowersacrossamerica.com,110,3349,2,271332
flowersfast.com,111,770,2,231679
Fonts,112,2962,2,878047
Football Fanatics,113,4080,2,1097768
forsalebyowner.com,114,2688,2,711914
foxrentacar.com,115,9247,2,1056026
gadgetuniverse.com,116,9416,2,409859
Computer Geeks,117,542,2,1808802
GiftTree,118,10159,2,807
goldenmine.com,120,14604,2,814094
golfcard.com,121,14052,2,695293
golfgalaxy.com,122,15789,2,1547914
grandcanyontourcompany.com,123,15202,2,853989
Graveyard Mall,124,15025,2,834809
gravitydefyer.com,125,12942,2,2463026
guidinglightvideo.com,126,12615,2,231840
Hammacher Schlemmer,127,1227,2,1472343
happyfeet.com,128,13853,2,410947
hirekogolf.com,129,2489,2,1904895
Hobby Tron,130,2416,2,1000402
homeclick.com,131,18320,2,2742022
homeexchange.com,132,17818,2,2105290
ichapters.com,133,494,2,
inksmile.com,134,19346,2,2057995
inksupply.com,135,18702,2,2757169
inmotionhosting.com,136,586,2,
instrumentpro.com,137,16345,2,1368118
In The Hole Golf,138,973,2,2012901
iseeme.com,139,540,2,856459
Island Surf,140,702,2,1433823
itcfonts.com,141,16990,2,851681
ixwebhosting.com,142,1390,2,1499799
jardencs.com,143,210,2,269311
jegem.com,144,23357,2,1218194
Joann Fabric and Crafts,145,22886,2,398977
justlenses.com,146,3234,2,
kalyx.com,147,3357,2,655703
killerdana.com,148,22008,2,2360429
kitchencollection.com,149,3138,2,
lens.com,151,3502,2,1478789
Lids,152,4275,2,1045525
loanmodificationsfast.com,153,20317,2,
love-scent.com,154,2014,2,293124
Love Sac ,155,2513,2,2262084
luggagepros.com,156,26684,2,1681549
lunarpages.com,157,459,2,767685
luxurylink.com,158,3906,2,
lydiasuniforms.com,159,470,2,2291796
